Grantee,Disaster_Type,Program_Type,Duration_Quarters,Total_Obligated,Total_Disbursed,Total_Expended,Disbursement_Rate,Expenditure_Rate,Completion_Efficiency
"Houston, TX",2015 Hurricane Joaquin and Patricia and Other Events,Housing,30.0,6300000.0,5600418.539999999,5572223.8999999985,0.8889553238095237,0.8844799841269839,0.9949656191231736
"Houston, TX",2015 Hurricane Joaquin and Patricia and Other Events,Infrastructure,29.0,66623793.93,49891939.3,47714380.51,0.7488606750978524,0.7161762742021617,0.9563544969277232
"Houston, TX",2015-2018 Mitigation,Infrastructure,6.0,6922182.0,2101019.7199999997,2020186.15,0.3035198612229496,0.2918423916042658,0.9615265058054764
"Houston, TX",ALL DISASTERS,ALL PROGRAMS,21.666666666666668,79845975.93,57593377.559999995,55306790.559999995,0.721305950477597,0.6926684772252867,0.9602977443436467
"San Marcos, TX",2015 Hurricane Joaquin and Patricia and Other Events,Housing,30.0,6314902.21,4655889.21,4655889.21,0.7372860347112169,0.7372860347112169,1.0
"San Marcos, TX",2015 Hurricane Joaquin and Patricia and Other Events,Infrastructure,28.0,22722897.17,22722897.17,22722597.17,1.0,0.999986797458187,0.999986797458187
"San Marcos, TX",2015-2018 Mitigation,Infrastructure,12.0,21012687.0,16118296.1,14954192.5,0.7670744869516212,0.7116744517252839,0.9277775024867548
"San Marcos, TX",ALL DISASTERS,ALL PROGRAMS,23.333333333333332,50050486.38,43497082.480000004,42332678.88,0.8690641315601937,0.8457995504498432,0.9732303057214149
Texas - GLO,2008 Hurricane Ike and Other Events,Housing,62.0,1574377508.47,1525914743.08,1520661144.96,0.9692178241055432,0.965880887385007,0.996557082796516
Texas - GLO,2008 Hurricane Ike and Other Events,Infrastructure,62.0,1246638346.66,1233584539.99,1234111886.0299995,0.9895287942128734,0.989951808667236,1.0004274907984856
Texas - GLO,2011 Multiple Disasters,Housing,14.0,4692816.029999999,4692816.03,4692816.03,1.0000000000000002,1.0000000000000002,1.0
Texas - GLO,2011 Multiple Disasters,Infrastructure,44.0,24662694.17000001,23853730.81,23853809.99,0.9671989055849366,0.9672021161019811,1.0000033193968956
Texas - GLO,2015 Hurricane Joaquin and Patricia and Other Events,Housing,25.0,16112738.24,14928806.240000002,14928806.240000002,0.9265219863709524,0.9265219863709524,1.0
Texas - GLO,2015 Hurricane Joaquin and Patricia and Other Events,Infrastructure,27.0,45285532.08,44011572.4,43686647.56999999,0.9718682850463264,0.964693259931771,0.9926172864934948
Texas - GLO,2015-2018 Mitigation,Housing,17.0,500000000.0,315589835.5,282031910.68,0.631179671,0.56406382136,0.8936660150450252
Texas - GLO,2015-2018 Mitigation,Infrastructure,14.0,1959546866.06,323919542.46000004,289285740.57,0.1653032892810035,0.1476288960374078,0.8930789984853202
Texas - GLO,2016 Louisiana Floods and Other Events,Housing,26.0,75181949.25,62298969.68000001,62217323.44,0.8286426502835055,0.8275566683315277,0.9986894447786314
Texas - GLO,2016 Louisiana Floods and Other Events,Infrastructure,27.0,136281269.36,122938743.91,120943323.44,0.902095676737832,0.8874537492053779,0.9837689860288406
Texas - GLO,"2017 Hurricanes Harvey, Irma and Maria",Housing,25.0,3672847375.48,3429649012.06,3434018383.94,0.9337847891410906,0.9349744307007072,1.0012739997196902
Texas - GLO,"2017 Hurricanes Harvey, Irma and Maria",Infrastructure,24.0,959341868.83,430574194.73,419896925.4,0.448822477908863,0.4376926922955009,0.9752022544298192
Texas - GLO,2018 Disasters,Housing,15.0,45279350.0,34420724.13,34175633.19,0.7601859154338567,0.7547730519541468,0.9928795530543068
Texas - GLO,2018 Disasters,Infrastructure,6.0,12707897.36,1065277.93,672312.7899999999,0.0838280244026144,0.0529051164763263,0.6311149147715845
Texas - GLO,2019 Disasters,Housing,15.0,141338336.7,106348484.58,105552357.11,0.7524390555531422,0.7468062775780495,0.9925139744760434
Texas - GLO,2019 Disasters,Infrastructure,7.0,44725805.59,4025056.97,3203073.52,0.0899940630896079,0.0716157814878164,0.7957833998061399
Texas - GLO,ALL DISASTERS,ALL PROGRAMS,25.625,10459020354.28,7677816050.5,7593932094.9,0.7340855826289805,0.7260653328581046,0.9890745030815713
