entity_text,mentions
Local Infrastructure Program,10434
HAP,5258
Homeowner Assistance Program,3925
Homeowner Reimbursement Program,2268
Affordable Rental Program,1506
HRP,412
Economic Revitalization Program,396
homeowner reimbursement program,103
affordable rental program,102
economic revitalization program,92
AFFORDABLE RENTAL PROGRAM,45
HOMEOWNER ASSISTANCE PROGRAM,19
ECONOMIC REVITALIZATION PROGRAM,16
LOCAL INFRASTRUCTURE PROGRAM,15
Homeowner Assistance program,15
Homeowner Reimbursement program,8
HOMEOWNER REIMBURSEMENT PROGRAM,7
homeowner assistance program,4
Local Buyout Program,4
Affordable Rental program,3
local infrastructure program,2
LOCAL BUYOUT PROGRAM,2
Local Infrastructure program,1
Affordable rental Program,1
